Subject,Condition,Accuracy,RT
109,hungover,1,1580
109,hungover,1,841
109,hungover,1,760
109,hungover,1,635
109,hungover,1,590
109,hungover,1,503
109,hungover,0,430
109,hungover,0,417
109,hungover,1,557
109,hungover,1,588
109,hungover,1,352
109,hungover,1,518
109,hungover,1,555
109,hungover,1,587
109,hungover,1,354
109,hungover,1,567
109,hungover,1,1922
109,hungover,1,641
109,hungover,1,491
109,hungover,1,1091
109,hungover,1,3066
109,hungover,1,577
109,hungover,1,912
109,hungover,1,643
109,hungover,1,2951
109,hungover,1,4537
109,hungover,1,1084
109,hungover,1,688
109,hungover,1,551
109,hungover,1,586
109,hungover,1,502
109,hungover,1,564
109,hungover,0,347
109,hungover,1,779
109,hungover,1,888
109,hungover,1,695
109,hungover,1,454
109,hungover,1,355
109,hungover,1,309
109,hungover,1,566
109,hungover,1,659
109,hungover,1,517
109,hungover,1,541
109,hungover,1,465
109,hungover,1,1624
109,hungover,1,502
109,hungover,1,421
109,hungover,1,538
109,hungover,1,1267
109,hungover,1,927
109,hungover,1,1724
109,hungover,1,614
109,hungover,1,1521
109,hungover,1,994
111,hungover,1,520
111,hungover,1,583
111,hungover,1,797
111,hungover,1,716
111,hungover,1,470
111,hungover,1,533
111,hungover,1,475
111,hungover,1,577
111,hungover,1,418
111,hungover,0,310
111,hungover,1,493
111,hungover,1,578
111,hungover,1,701
111,hungover,1,560
111,hungover,1,707
111,hungover,1,548
111,hungover,1,620
111,hungover,1,554
111,hungover,1,408
111,hungover,1,434
111,hungover,1,476
111,hungover,1,572
111,hungover,1,670
111,hungover,1,468
111,hungover,1,869
111,hungover,1,420
111,hungover,1,459
111,hungover,1,603
111,hungover,1,543
111,hungover,1,462
111,hungover,1,715
111,hungover,1,496
111,hungover,1,648
111,hungover,1,508
111,hungover,0,491
111,hungover,1,660
111,hungover,1,493
111,hungover,1,592
111,hungover,1,555
111,hungover,1,450
111,hungover,1,481
111,hungover,1,563
111,hungover,1,562
111,hungover,1,543
111,hungover,1,493
111,hungover,1,537
111,hungover,1,625
111,hungover,1,465
111,hungover,1,590
111,hungover,1,728
111,hungover,1,608
111,hungover,1,555
111,hungover,1,515
111,hungover,0,554
111,hungover,1,562
111,hungover,1,372
111,hungover,1,758
111,hungover,1,394
111,hungover,1,370
111,hungover,1,503
111,hungover,1,595
111,hungover,1,594
111,hungover,1,455
111,hungover,1,627
111,hungover,1,585
111,hungover,1,490
111,hungover,1,563
111,hungover,1,418
111,hungover,1,482
111,hungover,1,528
111,hungover,1,348
111,hungover,0,426
111,hungover,0,401
111,hungover,1,523
111,hungover,1,462
111,hungover,1,427
111,hungover,1,541
111,hungover,1,544
111,hungover,1,570
111,hungover,1,491
111,hungover,1,468
111,hungover,1,397
111,hungover,1,499
111,hungover,1,738
111,hungover,1,478
111,hungover,1,494
111,hungover,1,362
111,hungover,1,382
111,hungover,1,435
111,hungover,1,450
111,hungover,1,439
111,hungover,1,268
111,hungover,0,323
111,hungover,1,1167
111,hungover,1,469
111,hungover,1,458
111,hungover,1,353
111,hungover,1,359
111,hungover,1,494
111,hungover,1,354
111,hungover,1,409
111,hungover,1,708
111,hungover,1,612
111,hungover,1,477
111,hungover,1,527
111,hungover,1,890
111,hungover,1,683
111,hungover,1,1396
111,hungover,1,608
111,hungover,1,503
111,hungover,1,446
111,hungover,1,517
111,hungover,1,460
111,hungover,1,496
111,hungover,1,541
111,hungover,1,638
111,hungover,1,586
111,hungover,0,532
111,hungover,1,549
111,hungover,1,325
111,hungover,1,457
111,hungover,1,391
111,hungover,1,683
111,hungover,1,360
111,hungover,0,333
111,hungover,1,336
111,hungover,0,243
111,hungover,1,556
111,hungover,1,416
111,hungover,1,601
111,hungover,1,770
111,hungover,1,494
111,hungover,0,526
111,hungover,1,483
111,hungover,0,569
111,hungover,1,498
111,hungover,1,650
111,hungover,1,538
111,hungover,1,704
111,hungover,1,624
111,hungover,1,590
111,hungover,1,455
111,hungover,1,526
111,hungover,1,655
111,hungover,1,910
111,hungover,1,593
111,hungover,1,592
111,hungover,1,320
111,hungover,1,402
111,hungover,1,426
111,hungover,1,367
111,hungover,0,480
111,hungover,1,566
111,hungover,1,545
111,hungover,1,644
111,hungover,1,395
111,hungover,1,975
111,hungover,1,356
111,hungover,1,424
